title,author,year,volume,type,participants,unique_items,repetitions,how_dealt_with_repetitions,important_quote,comment
Phonetic variation in Scottish Gaelic laterals,Claire Nance,2014,47,experimental,23,12,3,not_mentioned,"""The words containing laterals were presented three times in random order"" (p.4)",
Nasal coarticulation changes over time in Philadelphia English,"Georgia Zellou, Meredith Tamminga",2014,47,corpus,NA,NA,NA,NA,,
The influence of inhibitory skill on phonological representations in production and perception,"Shiri Lev-Ari, Sharon Peperkamp",2014,47,experimental,36,20,0,NA,,"importantly, they matched words for frequency and neighborhood density"
Sentence planning and f0 scaling in Wenzhou Chinese,"Franziska Scholz, Yiya Chen",2014,47,experimental,19,42,1.578947,fixed_effect,"""Eight speakers recorded the stimuli sentences once, and 11 twice"" (p. 83); ""Repetition and Gender were included as control variables"" (p. 85) [presumably this means fixed effects]","mean(c(rep(1,8),rep(2,11))); see Footnote 3 (p. 84) for total item number"
A method for analyzing the coarticulated CV and VC components of vowel-formant trajectories in CVC syllables,"David J. Broad, Frantz Clermont",2014,47,experimental/modeling,2,6,5,averaging,"""For statistical stability, the data used here are the averages of these measurements over the five repetitions."" (p. 54)","there are other results/data too, but these are legacy data, or repetitions are not discussed"
Stress- and speech rate-induced vowel quality variation in Catalan and Spanish,Marianna Nadeu,2014,46,experimental/modeling,40,10,5,selection_averaging_not_mentioned,"""In the normal speech rate condition (task 1), the ten sentences containing the target words were presented once in each of five blocks"" (p. 5); ""To elicit a faster speech rate (task 2), the ten sentences containing the target words were presented three times (in pseudorandomized order)"" (p. 5); ""For each speaker, five repetitions of each target sentence were selected, avoiding those containing disfluencies, errors, or vowel elisions"" (p. 5); ""A total of 100 vowels per speaker were analyzed (ten target words  two speech rates  five repetitions), resulting in 2000 vowels per language."" (p. 5)",the degrees of freedom make it clear that a subjects analysis was conducted; the degrees of freedom make it clear that averaging MUST have happened
An acoustic and articulatory examination of the “oral” in “nasal”: The oral articulations of French nasal vowels are not arbitrary,Christopher Carignan,2014,46,experimental/modeling,12,18,10,repetition_as_random_effect,"""and speaker and block (i.e. repetition) as random effects"" (p. 27); ""These seminal articulatory studies had somewhat conflicting results, perhaps due to relatively low speaker and repetition numbers in each study"" (p. 25)","analyzing each speaker separately only for articulatory data because otherwise it ""would mask possible inter-speaker variation"" (p. 27); NO mentioning of random slopes whatsoever"
Treack or trit: Adaptation to genuine and arbitrary foreign accents by monolingual and bilingual listeners,"Andrea Weber, Anna Maria Di Betta, James M. McQueen",2014,46,experimental/modeling,48,80,0,NA,,each word was presented with three primes; but there was no repetition of that particular condition; a few other errors: ANOVAs on accuracy data(!); but they did do an items analysis
A corpus-based analysis of English segments produced by Korean learners,"Hyejin Hong, Sunhee Kim, Minhwa Chung",2014,46,corpus,NA,NA,NA,NA,,
Prosodic patterning in distal speech context: Effects of list intonation and f0 downtrend on perception of proximal prosodic structure,"Tuuli H. Morrill, Laura C. Dilley, J. Devin McAuley",2014,46,experimental,55.66667,30,0,NA,,"LMER with random slopes; the subject number of this table is based on the number that actually made it into their study (total - excluded); the subject number was averaged over the three experiments (mean(c(59,67,41)))"
Tone assimilation by Mandarin and Thai listeners with and without L2 experience,"Xianghua Wu, Murray J. Munro, Yue Wang",2014,46,experimental,72,45,2,not_mentioned_but_presumably_averaging,"""In the subsequent experimental session, 40 Mandarin words (5 syllables×4 tones×2 speakers) and 50 Thai words (5 syllables×5 tones×2 speakers) were presented twice in random order to the Thai and Mandarin listeners respectively"" (p. 93)","only two voices; for items, I'm taking the mean of the two stimulus sets; the degrees of freedom suggest that averaging MUST have happened; for the stimuli, speakers produced three repetitions and could choose their best"
